TeD,TrD1,TrD2,TrD3,TrD4,TrD5,TrD6,TrD7,TrD8,model,score
TeD5,1,0,1,1,0,0,0,0,M3,0.0482729624812714
TeD5,1,0,1,1,0,1,1,1,M3,0.057631920704747
TeD5,1,1,0,1,0,0,0,0,M3,0.0436843330048745
TeD5,0,1,0,1,0,0,0,0,M3,0.0397915844189907
TeD5,1,1,0,0,0,0,0,1,M3,0.0526545128514059
TeD5,0,0,1,1,1,0,1,1,M3,0.0540559311769285
TeD5,0,0,1,0,0,0,1,0,M3,0.05189104719683
TeD5,1,1,1,1,1,1,1,1,M3,0.0578075129504766
TeD5,1,1,1,1,1,1,1,1,M3,0.0524373108976706
TeD5,1,1,1,1,1,1,1,1,M3,0.0557981005533055
TeD5,1,1,1,1,1,1,1,1,M3,0.057534318339531
TeD5,1,1,1,1,1,1,1,1,M3,0.0539238789373871
TeD6,1,1,0,0,0,1,0,0,M3,0.57508446840987
TeD6,1,1,1,0,1,1,1,0,M3,0.644876911729353
TeD6,0,1,1,0,0,0,0,0,M3,0.480151584429655
TeD6,0,0,1,0,0,0,0,1,M3,0.606320537373466
TeD6,0,1,0,1,1,1,1,1,M3,0.700384916993662
TeD6,1,0,1,0,0,1,0,0,M3,0.655877666072125
TeD6,1,0,1,1,1,1,0,1,M3,0.670916737329158
TeD6,1,1,1,0,1,1,0,1,M3,0.660596614108906
TeD6,0,0,0,0,0,1,1,0,M3,0.644127019165449
TeD6,1,0,0,0,0,1,0,0,M3,0.650184237383823
TeD6,0,1,0,0,1,0,1,0,M3,0.64933360438483
TeD6,1,0,1,1,1,1,1,1,M3,0.653542515435912
TeD6,1,1,0,0,0,0,0,0,M3,0.485640242966422
TeD6,0,1,1,0,1,1,0,0,M3,0.645956164184735
TeD6,0,0,0,0,0,1,0,1,M3,0.704362038761407
TeD6,0,1,0,0,0,1,0,1,M3,0.624948264241142
TeD6,0,0,1,1,1,1,1,1,M3,0.681448731928585
TeD6,0,0,0,0,1,1,0,0,M3,0.640334071248469
TeD6,0,1,0,0,0,0,0,1,M3,0.601142494797669
TeD6,0,1,0,0,1,1,1,0,M3,0.672651048886401
TeD6,0,1,0,0,0,1,0,0,M3,0.577603311878337
TeD6,0,1,0,1,0,1,0,1,M3,0.644262036714449
TeD6,1,1,0,0,1,0,0,0,M3,0.63793724656625
TeD6,0,1,0,0,1,1,0,1,M3,0.680192610124731
TeD6,0,0,1,0,0,1,0,1,M3,0.641450238333351
TeD6,0,1,0,1,0,1,0,0,M3,0.600071909058574
TeD6,1,1,1,1,1,0,1,0,M3,0.671525304680146
TeD6,0,1,1,0,0,0,1,0,M3,0.630774446306148
TeD6,1,1,0,1,1,0,1,1,M3,0.666514741340285
TeD6,0,1,1,0,0,1,1,0,M3,0.672864140501047
TeD6,1,1,1,1,1,0,1,1,M3,0.689708423224972
